gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	captionID	pairID	label1	label2	label3	label4	label5
neutral	( ( A woman ) ( ( ( stands ( behind ( ( an ( outdoor grill ) ) ( with ( ( a ( blue basket ) ) ( of food ) ) ) ) ) ) ( in ( her hands ) ) ) . ) )	( ( ( A woman ) ( holding ( ( a ( blue basket ) ) ( full ( of ( food ( at ( a ( family cookout ) ) ) ) ) ) ) ) ) . )	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ stands) (PP (IN behind) (NP (NP (DT an) (JJ outdoor) (NN grill)) (PP (IN with) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (IN of) (NP (NN food))))))) (PP (IN in) (NP (PRP$ her) (NNS hands)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG holding) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (JJ full) (IN of) (NP (NP (NN food)) (PP (IN at) (NP (DT a) (NN family) (NN cookout))))))) (. .)))	A woman stands behind an outdoor grill with a blue basket of food in her hands.	A woman holding a blue basket full of food at a family cookout.	2164665069.jpg#3	2164665069.jpg#3r1n	neutral				
entailment	( ( A woman ) ( ( ( stands ( behind ( ( an ( outdoor grill ) ) ( with ( ( a ( blue basket ) ) ( of food ) ) ) ) ) ) ( in ( her hands ) ) ) . ) )	( ( ( A woman ) ( ( standing ( behind ( ( a ( grill outside ) ) ( with ( ( a ( blue basket ) ) ( of food ) ) ) ) ) ) ( in ( her hands ) ) ) ) . )	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ stands) (PP (IN behind) (NP (NP (DT an) (JJ outdoor) (NN grill)) (PP (IN with) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (IN of) (NP (NN food))))))) (PP (IN in) (NP (PRP$ her) (NNS hands)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG standing) (PP (IN behind) (NP (NP (DT a) (JJ grill) (NN outside)) (PP (IN with) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (IN of) (NP (NN food))))))) (PP (IN in) (NP (PRP$ her) (NNS hands)))) (. .)))	A woman stands behind an outdoor grill with a blue basket of food in her hands.	A woman standing behind a grill outside with a blue basket of food in her hands.	2164665069.jpg#3	2164665069.jpg#3r1e	entailment				
contradiction	( ( A woman ) ( ( ( stands ( behind ( ( an ( outdoor grill ) ) ( with ( ( a ( blue basket ) ) ( of food ) ) ) ) ) ) ( in ( her hands ) ) ) . ) )	( ( ( A woman ) ( holding ( ( a ( blue basket ) ) ( full ( of ( ( easter eggs ) ( outside ( of ( a church ) ) ) ) ) ) ) ) ) . )	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ stands) (PP (IN behind) (NP (NP (DT an) (JJ outdoor) (NN grill)) (PP (IN with) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (IN of) (NP (NN food))))))) (PP (IN in) (NP (PRP$ her) (NNS hands)))) (. .)))	(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG holding) (NP (NP (DT a) (JJ blue) (NN basket)) (PP (JJ full) (IN of) (NP (NP (NN easter) (NNS eggs)) (PP (JJ outside) (IN of) (NP (DT a) (NN church))))))) (. .)))	A woman stands behind an outdoor grill with a blue basket of food in her hands.	A woman holding a blue basket full of easter eggs outside of a church.	2164665069.jpg#3	2164665069.jpg#3r1c	contradiction				
neutral	( ( A ( Land Rover ) ) ( ( ( makes ( its way ) ) ( through ( a ( deep pond ) ) ) ) . ) )	( ( A car ) ( ( gets ( stuck ( in ( the water ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Land) (NNP Rover)) (VP (VBZ makes) (NP (PRP$ its) (NN way)) (PP (IN through) (NP (DT a) (JJ deep) (NN pond)))) (. .)))	(ROOT (S (NP (DT A) (NN car)) (VP (VBZ gets) (VP (VBN stuck) (PP (IN in) (NP (DT the) (NN water))))) (. .)))	A Land Rover makes its way through a deep pond.	A car gets stuck in the water.	2832076014.jpg#1	2832076014.jpg#1r1n	neutral				
contradiction	( ( A ( Land Rover ) ) ( ( ( makes ( its way ) ) ( through ( a ( deep pond ) ) ) ) . ) )	( ( A car ) ( ( is ( in ( the shop ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Land) (NNP Rover)) (VP (VBZ makes) (NP (PRP$ its) (NN way)) (PP (IN through) (NP (DT a) (JJ deep) (NN pond)))) (. .)))	(ROOT (S (NP (DT A) (NN car)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN shop)))) (. .)))	A Land Rover makes its way through a deep pond.	A car is in the shop.	2832076014.jpg#1	2832076014.jpg#1r1c	contradiction				
entailment	( ( A ( Land Rover ) ) ( ( ( makes ( its way ) ) ( through ( a ( deep pond ) ) ) ) . ) )	( ( A car ) ( ( drives ( through ( the water ) ) ) . ) )	(ROOT (S (NP (DT A) (NNP Land) (NNP Rover)) (VP (VBZ makes) (NP (PRP$ its) (NN way)) (PP (IN through) (NP (DT a) (JJ deep) (NN pond)))) (. .)))	(ROOT (S (NP (DT A) (NN car)) (VP (VBZ drives) (PP (IN through) (NP (DT the) (NN water)))) (. .)))	A Land Rover makes its way through a deep pond.	A car drives through the water.	2832076014.jpg#1	2832076014.jpg#1r1e	entailment				
entailment	( ( many people ) ( ( relax ( in ( the yard ) ) ) . ) )	( ( ( A group ) ( of people ) ) ( ( are outside ) . ) )	(ROOT (S (NP (JJ many) (NNS people)) (VP (VBP relax) (PP (IN in) (NP (DT the) (NN yard)))) (. .)))	(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBP are) (ADJP (JJ outside))) (. .)))	many people relax in the yard.	A group of people are outside.	2715262147.jpg#4	2715262147.jpg#4r1e	entailment				
neutral	( ( many people ) ( ( relax ( in ( the yard ) ) ) . ) )	( ( A family ) ( ( enjoys ( ( the ( sunny day ) ) ( in ( their backyard ) ) ) ) . ) )	(ROOT (S (NP (JJ many) (NNS people)) (VP (VBP relax) (PP (IN in) (NP (DT the) (NN yard)))) (. .)))	(ROOT (S (NP (DT A) (NN family)) (VP (VBZ enjoys) (NP (NP (DT the) (JJ sunny) (NN day)) (PP (IN in) (NP (PRP$ their) (NN backyard))))) (. .)))	many people relax in the yard.	A family enjoys the sunny day in their backyard.	2715262147.jpg#4	2715262147.jpg#4r1n	neutral				
contradiction	( ( many people ) ( ( relax ( in ( the yard ) ) ) . ) )	( People ( ( watch ( tv ( in ( their ( living room ) ) ) ) ) . ) )	(ROOT (S (NP (JJ many) (NNS people)) (VP (VBP relax) (PP (IN in) (NP (DT the) (NN yard)))) (. .)))	(ROOT (S (NP (NNS People)) (VP (VBP watch) (NP (NP (NN tv)) (PP (IN in) (NP (PRP$ their) (VBG living) (NN room))))) (. .)))	many people relax in the yard.	People watch tv in their living room.	2715262147.jpg#4	2715262147.jpg#4r1c	contradiction				
entailment	( ( ( A car ) ( sinking ( in water ) ) ) . )	( ( A car ) ( ( is flooding ) . ) )	(ROOT (NP (NP (DT A) (NN car)) (VP (VBG sinking) (PP (IN in) (NP (NN water)))) (. .)))	(ROOT (S (NP (DT A) (NN car)) (VP (VBZ is) (VP (VBG flooding))) (. .)))	A car sinking in water.	A car is flooding.	2832076014.jpg#3	2832076014.jpg#3r1e	entailment				
neutral	( ( ( A car ) ( sinking ( in water ) ) ) . )	( ( A car ) ( ( has ( crashed ( into ( a ( large lake ) ) ) ) ) . ) )	(ROOT (NP (NP (DT A) (NN car)) (VP (VBG sinking) (PP (IN in) (NP (NN water)))) (. .)))	(ROOT (S (NP (DT A) (NN car)) (VP (VBZ has) (VP (VBN crashed) (PP (IN into) (NP (DT a) (JJ large) (NN lake))))) (. .)))	A car sinking in water.	A car has crashed into a large lake.	2832076014.jpg#3	2832076014.jpg#3r1n	neutral				
contradiction	( ( ( A car ) ( sinking ( in water ) ) ) . )	( ( A truck ) ( ( ( drives down ) ( ( a ( country road ) ) ( in ( the sunshine ) ) ) ) . ) )	(ROOT (NP (NP (DT A) (NN car)) (VP (VBG sinking) (PP (IN in) (NP (NN water)))) (. .)))	(ROOT (S (NP (DT A) (NN truck)) (VP (VBZ drives) (PRT (RP down)) (NP (NP (DT a) (NN country) (NN road)) (PP (IN in) (NP (DT the) (NN sunshine))))) (. .)))	A car sinking in water.	A truck drives down a country road in the sunshine.	2832076014.jpg#3	2832076014.jpg#3r1c	contradiction	contradiction	contradiction	contradiction	contradiction
entailment	( ( ( A man ) ( wearing black ) ) ( ( is ( ( playing ( an ( electric guitar ) ) ) ( at ( a concert ) ) ) ) . ) )	( ( A man ) ( ( is ( playing ( the guitar ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (ADJP (JJ black)))) (VP (VBZ is) (VP (VBG playing) (NP (DT an) (JJ electric) (NN guitar)) (PP (IN at) (NP (DT a) (NN concert))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG playing) (NP (DT the) (NN guitar)))) (. .)))	A man wearing black is playing an electric guitar at a concert.	A man is playing the guitar.	1034985636.jpg#1	1034985636.jpg#1r1e	entailment				
neutral	( ( ( A man ) ( wearing black ) ) ( ( is ( ( playing ( an ( electric guitar ) ) ) ( at ( a concert ) ) ) ) . ) )	( ( A man ) ( ( is ( singing ( as ( he ( plays guitar ) ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (ADJP (JJ black)))) (VP (VBZ is) (VP (VBG playing) (NP (DT an) (JJ electric) (NN guitar)) (PP (IN at) (NP (DT a) (NN concert))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG singing) (SBAR (IN as) (S (NP (PRP he)) (VP (VBZ plays) (NP (NN guitar))))))) (. .)))	A man wearing black is playing an electric guitar at a concert.	A man is singing as he plays guitar.	1034985636.jpg#1	1034985636.jpg#1r1n	neutral				
contradiction	( ( ( A man ) ( wearing black ) ) ( ( is ( ( playing ( an ( electric guitar ) ) ) ( at ( a concert ) ) ) ) . ) )	( ( A man ) ( ( is ( playing ( the piano ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (ADJP (JJ black)))) (VP (VBZ is) (VP (VBG playing) (NP (DT an) (JJ electric) (NN guitar)) (PP (IN at) (NP (DT a) (NN concert))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG playing) (NP (DT the) (NN piano)))) (. .)))	A man wearing black is playing an electric guitar at a concert.	A man is playing the piano.	1034985636.jpg#1	1034985636.jpg#1r1c	contradiction				
contradiction	( ( ( A man ) ( with ( wild hair ) ) ) ( ( ( rocks ( a show ) ) ( playing ( a ( guitar ( center stage ) ) ) ) ) . ) )	( ( The ( bald man ) ) ( ( played ( the drums ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (JJ wild) (NN hair)))) (VP (VBD rocks) (NP (DT a) (NN show)) (S (VP (VBG playing) (NP (DT a) (NN guitar) (NN center) (NN stage))))) (. .)))	(ROOT (S (NP (DT The) (JJ bald) (NN man)) (VP (VBD played) (NP (DT the) (NNS drums))) (. .)))	A man with wild hair rocks a show playing a guitar center stage.	The bald man played the drums.	1034985636.jpg#0	1034985636.jpg#0r1c	contradiction				
entailment	( ( ( A man ) ( with ( wild hair ) ) ) ( ( ( rocks ( a show ) ) ( playing ( a ( guitar ( center stage ) ) ) ) ) . ) )	( ( A guy ) ( ( ( stands ( on stage ) ) ( with ( his guitar ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (JJ wild) (NN hair)))) (VP (VBD rocks) (NP (DT a) (NN show)) (S (VP (VBG playing) (NP (DT a) (NN guitar) (NN center) (NN stage))))) (. .)))	(ROOT (S (NP (DT A) (NN guy)) (VP (VBZ stands) (PP (IN on) (NP (NN stage))) (PP (IN with) (NP (PRP$ his) (NN guitar)))) (. .)))	A man with wild hair rocks a show playing a guitar center stage.	A guy stands on stage with his guitar.	1034985636.jpg#0	1034985636.jpg#0r1e	entailment				
neutral	( ( ( A man ) ( with ( wild hair ) ) ) ( ( ( rocks ( a show ) ) ( playing ( a ( guitar ( center stage ) ) ) ) ) . ) )	( ( One crazy ) ( ( ( looking ( man plays ) ) ( in ( a show ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (JJ wild) (NN hair)))) (VP (VBD rocks) (NP (DT a) (NN show)) (S (VP (VBG playing) (NP (DT a) (NN guitar) (NN center) (NN stage))))) (. .)))	(ROOT (FRAG (ADJP (NP (CD One)) (JJ crazy)) (S (VP (VBG looking) (NP (NN man) (NNS plays)) (PP (IN in) (NP (DT a) (NN show))))) (. .)))	A man with wild hair rocks a show playing a guitar center stage.	One crazy looking man plays in a show.	1034985636.jpg#0	1034985636.jpg#0r1n	neutral				
neutral	( ( ( ( woman and ) child ) ( on ( trolley car ) ) ) ( labeled ( ( Powell and ) ( market ( and ( ( bay and ) taylor ) ) ) ) ) )	( ( The woman ) ( ( is ( carrying ( her child ) ) ) . ) )	(ROOT (S (NP (NP (NN woman) (CC and) (NN child)) (PP (IN on) (NP (NN trolley) (NN car)))) (VP (VBD labeled) (NP (NP (NNP Powell)) (CC and) (NP (NN market) (CC and) (NN bay) (CC and) (NN taylor))))))	(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (VP (VBG carrying) (NP (PRP$ her) (NN child)))) (. .)))	woman and child on trolley car labeled Powell and market and bay and taylor	The woman is carrying her child.	7632093958.jpg#1	7632093958.jpg#1r1n	neutral				
entailment	( ( ( ( woman and ) child ) ( on ( trolley car ) ) ) ( labeled ( ( Powell and ) ( market ( and ( ( bay and ) taylor ) ) ) ) ) )	( ( The woman ) ( ( is ( on ( a trolley ) ) ) . ) )	(ROOT (S (NP (NP (NN woman) (CC and) (NN child)) (PP (IN on) (NP (NN trolley) (NN car)))) (VP (VBD labeled) (NP (NP (NNP Powell)) (CC and) (NP (NN market) (CC and) (NN bay) (CC and) (NN taylor))))))	(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (PP (IN on) (NP (DT a) (NN trolley)))) (. .)))	woman and child on trolley car labeled Powell and market and bay and taylor	The woman is on a trolley.	7632093958.jpg#1	7632093958.jpg#1r1e	entailment				
contradiction	( ( ( ( woman and ) child ) ( on ( trolley car ) ) ) ( labeled ( ( Powell and ) ( market ( and ( ( bay and ) taylor ) ) ) ) ) )	( ( The ( ( woman and ) child ) ) ( ( are ( on ( a ( subway train ) ) ) ) . ) )	(ROOT (S (NP (NP (NN woman) (CC and) (NN child)) (PP (IN on) (NP (NN trolley) (NN car)))) (VP (VBD labeled) (NP (NP (NNP Powell)) (CC and) (NP (NN market) (CC and) (NN bay) (CC and) (NN taylor))))))	(ROOT (S (NP (DT The) (NN woman) (CC and) (NN child)) (VP (VBP are) (PP (IN on) (NP (DT a) (NN subway) (NN train)))) (. .)))	woman and child on trolley car labeled Powell and market and bay and taylor	The woman and child are on a subway train.	7632093958.jpg#1	7632093958.jpg#1r1c	contradiction				
neutral	( ( ( ( ( ( ( ( Two ( female ( medical professionals ) ) ) , ) ( ( ( one ( african american ) ) & ) one ) ) white ) , ) ( looking ( over paperwork ) ) ) ( in ( a hospital ) ) ) . )	( Coworkers ( ( at ( at ( a ( monthly ( safety meeting ) ) ) ) ) . ) )	(ROOT (NP (NP (NP (CD Two) (JJ female) (JJ medical) (NNS professionals)) (, ,) (NP (NP (CD one) (NN african) (NN american)) (CC &) (NP (CD one)))) (ADJP (JJ white)) (, ,) (VP (VBG looking) (PP (IN over) (NP (NN paperwork)))) (PP (IN in) (NP (DT a) (NN hospital))) (. .)))	(ROOT (FRAG (INTJ (UH Coworkers)) (PP (IN at) (PP (IN at) (NP (DT a) (JJ monthly) (NN safety) (NN meeting)))) (. .)))	Two female medical professionals, one african american& one white, looking over paperwork in a hospital.	Coworkers at at a monthly safety meeting.	3856149623.jpg#0	3856149623.jpg#0r1n	neutral				
contradiction	( ( ( ( ( ( ( ( Two ( female ( medical professionals ) ) ) , ) ( ( ( one ( african american ) ) & ) one ) ) white ) , ) ( looking ( over paperwork ) ) ) ( in ( a hospital ) ) ) . )	( Coworkers ( ( ( ( left work ) and ) ( are ( driving ( to lunch ) ) ) ) . ) )	(ROOT (NP (NP (NP (CD Two) (JJ female) (JJ medical) (NNS professionals)) (, ,) (NP (NP (CD one) (NN african) (NN american)) (CC &) (NP (CD one)))) (ADJP (JJ white)) (, ,) (VP (VBG looking) (PP (IN over) (NP (NN paperwork)))) (PP (IN in) (NP (DT a) (NN hospital))) (. .)))	(ROOT (S (NP (NNS Coworkers)) (VP (VP (VBD left) (NP (NN work))) (CC and) (VP (VBP are) (VP (VBG driving) (PP (TO to) (NP (NN lunch)))))) (. .)))	Two female medical professionals, one african american& one white, looking over paperwork in a hospital.	Coworkers left work and are driving to lunch.	3856149623.jpg#0	3856149623.jpg#0r1c	contradiction				
entailment	( ( ( ( ( ( ( ( Two ( female ( medical professionals ) ) ) , ) ( ( ( one ( african american ) ) & ) one ) ) white ) , ) ( looking ( over paperwork ) ) ) ( in ( a hospital ) ) ) . )	( There ( ( are ( people ( at work ) ) ) . ) )	(ROOT (NP (NP (NP (CD Two) (JJ female) (JJ medical) (NNS professionals)) (, ,) (NP (NP (CD one) (NN african) (NN american)) (CC &) (NP (CD one)))) (ADJP (JJ white)) (, ,) (VP (VBG looking) (PP (IN over) (NP (NN paperwork)))) (PP (IN in) (NP (DT a) (NN hospital))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (NP (NNS people)) (PP (IN at) (NP (NN work))))) (. .)))	Two female medical professionals, one african american& one white, looking over paperwork in a hospital.	There are people at work.	3856149623.jpg#0	3856149623.jpg#0r1e	entailment				
neutral	( ( Two ladies ) ( ( are ( reading ( through binders ) ) ) . ) )	( ( Two ladies ) ( ( are ( studying ( for ( their ( final exam ) ) ) ) ) . ) )	(ROOT (S (NP (CD Two) (NNS ladies)) (VP (VBP are) (VP (VBG reading) (PP (IN through) (NP (NNS binders))))) (. .)))	(ROOT (S (NP (CD Two) (NNS ladies)) (VP (VBP are) (VP (VBG studying) (PP (IN for) (NP (PRP$ their) (JJ final) (NN exam))))) (. .)))	Two ladies are reading through binders.	Two ladies are studying for their final exam.	3856149623.jpg#3	3856149623.jpg#3r1n	neutral				
contradiction	( ( Two ladies ) ( ( are ( reading ( through binders ) ) ) . ) )	( ( The girls ) ( ( are ( watching ( a movie ) ) ) . ) )	(ROOT (S (NP (CD Two) (NNS ladies)) (VP (VBP are) (VP (VBG reading) (PP (IN through) (NP (NNS binders))))) (. .)))	(ROOT (S (NP (DT The) (NNS girls)) (VP (VBP are) (VP (VBG watching) (NP (DT a) (NN movie)))) (. .)))	Two ladies are reading through binders.	The girls are watching a movie.	3856149623.jpg#3	3856149623.jpg#3r1c	contradiction	contradiction	contradiction	contradiction	contradiction
entailment	( ( Two ladies ) ( ( are ( reading ( through binders ) ) ) . ) )	( ( Some women ) ( ( are reading ) . ) )	(ROOT (S (NP (CD Two) (NNS ladies)) (VP (VBP are) (VP (VBG reading) (PP (IN through) (NP (NNS binders))))) (. .)))	(ROOT (S (NP (DT Some) (NNS women)) (VP (VBP are) (VP (VBG reading))) (. .)))	Two ladies are reading through binders.	Some women are reading.	3856149623.jpg#3	3856149623.jpg#3r1e	entailment				
neutral	( ( ( A man ) ( in ( the distance ) ) ) ( ( is ( walking ( past ( ( a ( brick wall ) ) ( painted ( with ( ( words and ) graffiti ) ) ) ) ) ) ) . ) )	( ( A man ) ( ( ( walks away ) ( from ( ( a wall ) ( he ( has defaced ) ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT the) (NN distance)))) (VP (VBZ is) (VP (VBG walking) (PP (IN past) (NP (NP (DT a) (NN brick) (NN wall)) (VP (VBN painted) (PP (IN with) (NP (NNS words) (CC and) (NNS graffiti)))))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ walks) (PRT (RP away)) (PP (IN from) (NP (NP (DT a) (NN wall)) (SBAR (S (NP (PRP he)) (VP (VBZ has) (VP (VBN defaced)))))))) (. .)))	A man in the distance is walking past a brick wall painted with words and graffiti.	A man walks away from a wall he has defaced.	3526841158.jpg#0	3526841158.jpg#0r1n	neutral				
contradiction	( ( ( A man ) ( in ( the distance ) ) ) ( ( is ( walking ( past ( ( a ( brick wall ) ) ( painted ( with ( ( words and ) graffiti ) ) ) ) ) ) ) . ) )	( ( A man ) ( ( ( ( sits and ) reads ) ( ( the graffiti ) ( on ( a wall ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT the) (NN distance)))) (VP (VBZ is) (VP (VBG walking) (PP (IN past) (NP (NP (DT a) (NN brick) (NN wall)) (VP (VBN painted) (PP (IN with) (NP (NNS words) (CC and) (NNS graffiti)))))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ sits) (CC and) (VBZ reads) (NP (NP (DT the) (NN graffiti)) (PP (IN on) (NP (DT a) (NN wall))))) (. .)))	A man in the distance is walking past a brick wall painted with words and graffiti.	A man sits and reads the graffiti on a wall.	3526841158.jpg#0	3526841158.jpg#0r1c	contradiction				
entailment	( ( ( A man ) ( in ( the distance ) ) ) ( ( is ( walking ( past ( ( a ( brick wall ) ) ( painted ( with ( ( words and ) graffiti ) ) ) ) ) ) ) . ) )	( ( Grafffiti ( on ( a ( brick wall ) ) ) ) . )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT the) (NN distance)))) (VP (VBZ is) (VP (VBG walking) (PP (IN past) (NP (NP (DT a) (NN brick) (NN wall)) (VP (VBN painted) (PP (IN with) (NP (NNS words) (CC and) (NNS graffiti)))))))) (. .)))	(ROOT (NP (NP (NNP Grafffiti)) (PP (IN on) (NP (DT a) (NN brick) (NN wall))) (. .)))	A man in the distance is walking past a brick wall painted with words and graffiti.	Grafffiti on a brick wall.	3526841158.jpg#0	3526841158.jpg#0r1e	entailment				
contradiction	( ( ( ( ( A woman ) and ) ( a child ) ) ( holding ( on ( to ( ( the ( railing while ) ) ( on trolley ) ) ) ) ) ) . )	( ( The people ) ( ( ( are not ) ( holding ( onto anything ) ) ) . ) )	(ROOT (NP (NP (NP (DT A) (NN woman)) (CC and) (NP (DT a) (NN child))) (VP (VBG holding) (PP (IN on) (PP (TO to) (NP (NP (DT the) (NN railing) (NN while)) (PP (IN on) (NP (NN trolley))))))) (. .)))	(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (RB not) (VP (VBG holding) (PP (IN onto) (NP (NN anything))))) (. .)))	A woman and a child holding on to the railing while on trolley.	The people are not holding onto anything.	7632093958.jpg#2	7632093958.jpg#2r1c	contradiction				
entailment	( ( ( ( ( A woman ) and ) ( a child ) ) ( holding ( on ( to ( ( the ( railing while ) ) ( on trolley ) ) ) ) ) ) . )	( ( The people ) ( ( are ( holding ( onto ( the rail ) ) ) ) . ) )	(ROOT (NP (NP (NP (DT A) (NN woman)) (CC and) (NP (DT a) (NN child))) (VP (VBG holding) (PP (IN on) (PP (TO to) (NP (NP (DT the) (NN railing) (NN while)) (PP (IN on) (NP (NN trolley))))))) (. .)))	(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (VP (VBG holding) (PP (IN onto) (NP (DT the) (NN rail))))) (. .)))	A woman and a child holding on to the railing while on trolley.	The people are holding onto the rail.	7632093958.jpg#2	7632093958.jpg#2r1e	entailment				
neutral	( ( ( ( ( A woman ) and ) ( a child ) ) ( holding ( on ( to ( ( the ( railing while ) ) ( on trolley ) ) ) ) ) ) . )	( ( The people ) ( ( are ( on ( ( a trolley ) ( in ( san Francisco ) ) ) ) ) . ) )	(ROOT (NP (NP (NP (DT A) (NN woman)) (CC and) (NP (DT a) (NN child))) (VP (VBG holding) (PP (IN on) (PP (TO to) (NP (NP (DT the) (NN railing) (NN while)) (PP (IN on) (NP (NN trolley))))))) (. .)))	(ROOT (S (NP (DT The) (NNS people)) (VP (VBP are) (PP (IN on) (NP (NP (DT a) (NN trolley)) (PP (IN in) (NP (NNP san) (NNP Francisco)))))) (. .)))	A woman and a child holding on to the railing while on trolley.	The people are on a trolley in san Francisco.	7632093958.jpg#2	7632093958.jpg#2r1n	neutral				
contradiction	( ( ( A man ) ( in ( a ( striped ( polo shirt ) ) ) ) ) ( ( is ( ( pointing and ) smiling ) ) . ) )	( ( The man ) ( is swimming ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ striped) (NN polo) (NN shirt)))) (VP (VBZ is) (VP (VBG pointing) (CC and) (VBG smiling))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG swimming)))))	A man in a striped polo shirt is pointing and smiling.	The man is swimming	4814575064.jpg#2	4814575064.jpg#2r1c	contradiction				
neutral	( ( ( A man ) ( in ( a ( striped ( polo shirt ) ) ) ) ) ( ( is ( ( pointing and ) smiling ) ) . ) )	( ( The man ) ( is outside ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ striped) (NN polo) (NN shirt)))) (VP (VBZ is) (VP (VBG pointing) (CC and) (VBG smiling))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (ADVP (RB outside)))))	A man in a striped polo shirt is pointing and smiling.	The man is outside	4814575064.jpg#2	4814575064.jpg#2r1n	neutral				
entailment	( ( ( A man ) ( in ( a ( striped ( polo shirt ) ) ) ) ) ( ( is ( ( pointing and ) smiling ) ) . ) )	( ( The man ) ( seems happy ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ striped) (NN polo) (NN shirt)))) (VP (VBZ is) (VP (VBG pointing) (CC and) (VBG smiling))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ seems) (ADJP (JJ happy)))))	A man in a striped polo shirt is pointing and smiling.	The man seems happy	4814575064.jpg#2	4814575064.jpg#2r1e	entailment				
neutral	( ( ( A guy ) ( performing ( ( a ( bicycle ( jump trick ) ) ) ( for ( an audience ) ) ) ) ) . )	( ( a ( bmx pro ) ) ( is ( doing ( a ( triple backflip ) ) ) ) )	(ROOT (NP (NP (DT A) (NN guy)) (VP (VBG performing) (NP (NP (DT a) (NN bicycle) (NN jump) (NN trick)) (PP (IN for) (NP (DT an) (NN audience))))) (. .)))	(ROOT (S (NP (FW a) (FW bmx) (FW pro)) (VP (VBZ is) (VP (VBG doing) (NP (DT a) (JJ triple) (NN backflip))))))	A guy performing a bicycle jump trick for an audience.	a bmx pro is doing a triple backflip	2914800692.jpg#2	2914800692.jpg#2r1n	neutral	neutral	neutral	neutral	
contradiction	( ( ( A guy ) ( performing ( ( a ( bicycle ( jump trick ) ) ) ( for ( an audience ) ) ) ) ) . )	( ( tony hawk ) ( is ( performing ( a ( skating trick ) ) ) ) )	(ROOT (NP (NP (DT A) (NN guy)) (VP (VBG performing) (NP (NP (DT a) (NN bicycle) (NN jump) (NN trick)) (PP (IN for) (NP (DT an) (NN audience))))) (. .)))	(ROOT (S (NP (JJ tony) (NN hawk)) (VP (VBZ is) (VP (VBG performing) (NP (DT a) (VBG skating) (NN trick))))))	A guy performing a bicycle jump trick for an audience.	tony hawk is performing a skating trick	2914800692.jpg#2	2914800692.jpg#2r1c	contradiction				
