index	question	sentence	label
508	What investiture featuring Prince Charles was televised in the late 1960s?	In the late 1960s, attempts to portray a more modern image of the monarchy were made in the television documentary Royal Family and by televising Prince Charles's investiture as Prince of Wales.	entailment
509	Where is Guinea-Bissau located?	Guinea-Bissau (i/ˈɡɪni bɪˈsaʊ/, GI-nee-bi-SOW), officially the Republic of Guinea-Bissau (Portuguese: República da Guiné-Bissau, pronounced: [ʁeˈpublikɐ dɐ ɡiˈnɛ biˈsaw]), is a country in West Africa.	entailment
510	What body of water affects Detroit's climate?	The average window for freezing temperatures is October 20 thru April 22, allowing a growing season of 180 days.	not_entailment
511	What rival did the Portuguese fend off in Guinea-Bissau?	For a brief period in the 1790s, the British tried to establish a rival foothold on an offshore island, at Bolama.	entailment
512	Who is the Transport Minister in Canada?	"This allows Canada and Michigan to move the project forward immediately to its next steps which include further design work and property acquisition on the U.S. side of the border," Raitt said in a statement issued after she spoke in the House of Commons.	not_entailment
513	What is the size of the average household?	The city reported 34.1 percent of all households were made up of individuals while 10.5 percent had someone living alone who was 65 years of age or older.	not_entailment
514	When did the BBC start broadcasting under the name BBC One?	Television production was switched from Baird's company to what is now known as BBC One on 2 August 1932, and continued until September 1935.	entailment
515	What is Rodman's Neck between?	The opposite (southeastern) side of the Bronx has four large low peninsulas or "necks" of low-lying land that jut into the waters of the East River and were once salt marsh: Hunt's Point, Clason's Point, Screvin's Neck and Throg's Neck.	not_entailment
516	Who was a British archaeologist?	The last great book written by Leonard Woolley, British archaeologist, excavator of ancient Ur and associate of T.E. Lawrence and Arthur Evans, was The Art of the Middle East, Including Persia, Mesopotamia and Palestine, published in 1961.	entailment
517	Who introduced Nasser and his wife?	She was introduced to Nasser through her brother, Abdel Hamid Kazim, a merchant friend of Nasser's, in 1943.	entailment
518	What nursing school does The Good Shepherd Hospital contain?	The Good Shepherd Hospital in Siteki is home to the College for Nursing Assistants.	entailment
519	In what year did Greece become a part of Rome?	In 146 BC Macedonia was annexed as a province by Rome, and the rest of Greece became a Roman protectorate.	entailment
520	What distinguishes Latin, Greek, and Cyrillic from one another?	In other words, while the shapes of letters like A, B, E, H, K, M, O, P, T, X, Y and so on are shared between the Latin, Greek, and Cyrillic alphabets (and small differences in their canonical forms may be considered to be of a merely typographical nature), it would still be problematic for a multilingual character set or a font to provide only a single codepoint for, say, uppercase letter B, as this would make it quite difficult for a wordprocessor to change that single uppercase letter to one of the three different choices for the lower-case letter, b (Latin), β (Greek), or в (Cyrillic).	not_entailment
521	Out of all African nations, which provided the most legal immigrants in 2013?	Ecuador, Colombia, Guyana, Peru, and Brazil were the top source countries from South America for legal immigrants to the New York City region in 2013; the Dominican Republic, Jamaica, Haiti, and Trinidad and Tobago in the Caribbean; Egypt, Ghana, and Nigeria from Africa; and El Salvador, Honduras, and Guatemala in Central America.	entailment
522	What floor are the Belgian Suites located?	They are allocated a large suite of rooms known as the Belgian Suite, situated at the foot of the Minister's Staircase, on the ground floor of the north-facing Garden Wing.	entailment
523	Do bacteria have membrabe-bound organelles in their cytoplasm?	As they are prokaryotes, bacteria do not usually have membrane-bound organelles in their cytoplasm, and thus contain few large intracellular structures.	entailment
524	Which number member is Namibia in the Commonwealth of Nations?	On its independence it became the fiftieth member of the Commonwealth of Nations.	entailment
525	What issues stalled the armistice talks?	In the final armistice agreement, signed on 27 July 1953, a Neutral Nations Repatriation Commission, under the chairman Indian General K. S. Thimayya, was set up to handle the matter.	not_entailment
526	Many records showed what?	Other historians have been more cautious in interpreting this material, noting that chroniclers also reported John's personal interest in the life of St Wulfstan of Worcester and his friendships with several senior clerics, most especially with Hugh of Lincoln, who was later declared a saint.	not_entailment
527	What international awards have been won by the Boom Festival?	Furthermore, one of the largest international Goa trance festivals takes place in central Portugal every two years, the Boom Festival, that is also the only festival in Portugal to win international awards: European Festival Award 2010 – Green'n'Clean Festival of the Year and the Greener Festival Award Outstanding 2008 and 2010.	entailment
528	Around what year was the Greek Revival added to the repertory?	Greek Revival architecture was added to the repertory, beginning around 1750, but increasing in popularity after 1800.	entailment
529	Along with Germany, England, Spain and Australia, where has a research center on the history of emotions recently opened?	The history of emotions has become an increasingly popular topic recently, with some scholars arguing that it is an essential category of analysis, not unlike class, race, or gender.	not_entailment
530	What did the liberian civil war result in?	Five years of military rule by the People's Redemption Council and five years of civilian rule by the National Democratic Party of Liberia were followed by the First and Second Liberian Civil Wars.	not_entailment
531	By what other name were some Marvel-related comic books published?	As well, some comics' covers, such as All Surprise Comics #12 (Winter 1946–47), were labeled "A Marvel Magazine" many years before Goodman would formally adopt the name in 1961.	entailment
532	When was did Washington University open its law school?	Medical classes were first held at Washington University in 1891 after the St. Louis Medical College decided to affiliate with the University, establishing the School of Medicine.	not_entailment
533	What does Stephen Hawking and Leonard Mlodinow pose as a better question that "Is there a God"?	Following a biological comparative approach, he concludes that it is highly probable that God exists, and, although not visible, it is possible that we know some of his attributes.	not_entailment
534	Along with industrial and medical, in what applications is infrared radiation used?	Infrared radiation is used in industrial, scientific, and medical applications.	entailment
535	What is a highly prized fixture of Estonian society?	Like the mainstream culture in the other Nordic countries, Estonian culture can be seen to build upon the ascetic environmental realities and traditional livelihoods, a heritage of comparatively widespread egalitarianism out of practical reasons (see: Everyman's right and universal suffrage), and the ideals of closeness to nature and self-sufficiency (see: summer cottage).	not_entailment
536	When was Mario born?	In 1966, Tony married the family's housekeeper Joan Gustafson; they had two children, Jennifer (born 1967) and Mario (born 1968).	entailment
537	How many bearers decided not to participate?	A total of five intended torchbearers -Kiran Bedi, Soha Ali Khan, Sachin Tendulkar, Bhaichung Bhutia and Sunil Gavaskar- withdrew from the event, citing "personal reasons", or, in Bhutia's case, explicitly wishing to "stand by the people of Tibet and their struggle" and protest against the PRC "crackdown" in Tibet.	entailment
538	Why do people eat Gaejang-guk in the summer months?	While the dishes are still popular in Korea with a segment of the population, dog is not as widely consumed as beef, chicken, and pork.	not_entailment
539	Why was the KInsey scale developed?	The scale was developed to combat the assumption at the time that people are either heterosexual or homosexual and that these two types represent antitheses in the sexual world.	entailment
540	Who runs the public busses in Cork?	Public bus services within the city are provided by the national bus operator Bus Éireann.	entailment
541	What object did Duchamp select in 1914 as a scuplture by itself?	The next logical step, for Duchamp, was to present an ordinary object as a self-sufficient work of art representing only itself.	not_entailment
542	What was federalism and confederalism common meaning in the 18th century?	Their common meaning until the late eighteenth century was a simple league or inter-governmental relationship among sovereign states based upon a treaty.	entailment
543	What competitor did Arsenal defeat to win a league title in the 1988-89 season?	This was followed by a League title win in 1988–89, won with a last-minute goal in the final game of the season against fellow title challengers Liverpool.	entailment
544	What is the population of Strasbourg in 2012?	With a population of 768,868 in 2012, Strasbourg's metropolitan area (only the part of the metropolitan area on French territory) is the ninth largest in France and home to 13% of the ACAL region's inhabitants.	entailment
545	What does "IGRAs" stand for?	IGRAs may increase sensitivity when used in addition to the skin test, but may be less sensitive than the skin test when used alone.	not_entailment
546	How does Whitehead define presentational immediacy?	Presentational immediacy, on the other hand, is what is usually referred to as "pure sense perception", unmediated by any causal or symbolic interpretation, even unconscious interpretation.	entailment
547	Who settled in parts of England?	Polabian Slavs (Wends) settled in parts of England (Danelaw), apparently as Danish allies.	entailment
548	What percentage of the population is native	Chinese is the largest ethnic group, while the black minority ethnic proportion of the total population is 2.9%.	not_entailment
549	What was the name of the heating system that first used Glauber's salt?	Phase change materials such as paraffin wax and Glauber's salt are another thermal storage media.	not_entailment
550	What is the estimated cost to build the Tusker Tunnel?	Several potential Irish Sea tunnel projects have been proposed, most recently the Tusker Tunnel between the ports of Rosslare and Fishguard proposed by The Institute of Engineers of Ireland in 2004.	not_entailment
551	In what year did  Ayutthaya capture Lan Na  ?	Burma and Siam went to war until 1855, but all resulted in a stalemate, exchanging Tenasserim (to Burma) and Lan Na (to Ayutthaya).	not_entailment
552	What has the Real growth in GDP since 2001 in Swaziland in percentage?	Economic growth in Swaziland has lagged behind that of its neighbours.	not_entailment
553	Who accused Karim of spying?	Her family and retainers were appalled, and accused Abdul Karim of spying for the Muslim Patriotic League, and biasing the Queen against the Hindus.	entailment
554	What is in Ski Valley?	Summerhaven is the road to Ski Valley which hosts a ski lift, several runs, a giftshop, and nearby restaurant.	entailment
555	When did Aryabhata live?	Indian astronomer and mathematician Aryabhata (476-550), in his Aryabhatiya (499) introduced a number of trigonometric functions (including sine, versine, cosine and inverse sine), trigonometric tables, and techniques and algorithms of algebra.	entailment
556	What group accidentally published the non CIA budget in 1994?	There were numerous previous attempts to obtain general information about the budget.	not_entailment
557	How many electoral districts exist in the Marshall Islands?	The following senators are in the legislative body:	not_entailment
558	Which department at Notre Dame is the only one to not offer a PhD program?	The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees.	not_entailment
559	What is the population of Saint Helena?	It is part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha.	not_entailment
560	With what type of metering can the Standard Output Sensitivity not be used?	It is not applicable when multi-zone metering is used.	entailment
561	What European Parliamentary constitutency is Plymouth a part of?	In the Parliament of the United Kingdom, Plymouth is represented by the three constituencies of Plymouth Moor View, Plymouth Sutton and Devonport and South West Devon and within the European Parliament as South West England.	entailment
562	What does Elisabeth Bumiller believe the reasoning behind the amount of political Yale alumni is?	New York Times correspondent Elisabeth Bumiller and The Atlantic Monthly correspondent James Fallows credit the culture of community and cooperation that exists between students, faculty, and administration, which downplays self-interest and reinforces commitment to others.	entailment
563	What year was Tuscon's largest office building built?	Restaurant Row is sandwiched by three of Tucson's storied Neighborhoods: Harold Bell Wright Estates, named after the famous author's ranch which occupied some of that area prior to the depression; the Tucson Country Club (the third to bear the name Tucson Country Club), and the Dorado Country Club.	not_entailment
564	What is located on East 90th Street between York Avenue and East End Avenue?	When East Drive is closed, East 90th Street begins at Fifth Avenue on the Upper East Side and curves to the right at the FDR Drive becoming East End Avenue.	not_entailment
565	When did Father Jose Manuel Perez Castellano die?	The first public library in Montevideo was formed by the initial donation of the private library of Father José Manuel Pérez Castellano, who died in 1815.	entailment
566	What is the legislative body of the Swiss government called?	There are three main governing bodies on the federal level: the bicameral parliament (legislative), the Federal Council (executive) and the Federal Court (judicial).	entailment
567	What department was formed to help raise the living standards of the citizens in Saint Helena?	For the next 20 years, many could find only low-paid work with the island government, and the only available employment outside Saint Helena was on the Falkland Islands and Ascension Island.	not_entailment
568	How much did Victoria donate to Ireland to help with famine relief?	The story that she donated only £5 in aid to the Irish, and on the same day gave the same amount to Battersea Dogs Home, was a myth generated towards the end of the 19th century.	not_entailment
569	How many awards did Beyonce take home with her at the 57th Grammy Awards?	She was nominated for Album of the Year but the award was won by Beck for his Morning Phase album.	not_entailment
570	When was the Greek Orthodox Church started?	The first century AD saw the establishment of the Greek Orthodox Church, which shaped the modern Greek identity and transmitted Greek traditions to the wider Orthodox World.	entailment
571	How many versions of the Hiram myth are there?	While many different versions of these rituals exist, with at least two different lodge layouts and versions of the Hiram myth, each version is recognisable to any Freemason from any jurisdiction.	entailment
572	When did the Grande Oriente d'italia charter the Propaganda Due Lodge?	However, by this time the lodge was operating independently and irregularly, as the Grand Orient had revoked its charter and expelled Gelli in 1976.	not_entailment
573	What length of time do the 200,000 works of art in the National Museum encompass?	The National Museum which began with an exhibition of Indian art and artefacts at the Royal Academy in London in the winter of 1947–48 was later at the end was shown at the Rashtrapati Bhawan in 1949.	not_entailment
574	What areas of the world do Slavs inhabit?	Presently over half of Europe's territory is inhabited by Slavic-speaking communities, but every Slavic ethnicity has emigrated to other continents.	not_entailment
575	What is an Arabic term for allusions?	They indicate possibilities as much as they demonstrate the insights of each writer.	not_entailment
576	For how many months did the night raids continue for?	This weight of attack went on for two months, with the Luftwaffe dropping 13,900 short tons (12,600 t) of bombs.	entailment
577	What is an Etsudiantinas?	She is in close contact to the Brasschaat mandolin Orchestra.	not_entailment
578	What is a solar balloon?	Some solar balloons are large enough for human flight, but usage is generally limited to the toy market as the surface-area to payload-weight ratio is relatively high.	not_entailment
579	How many Muslim teachers are there in Kerala?	Primary education in Arabic and Islamic studies is available to Kerala Muslims almost entirely in after-school madrasa programs - sharply unlike full-time madaris common in north India, which may replace formal schooling.	not_entailment
580	WHo succeeded Oleg in 913?	Oleg has the horse sequestered, and it later dies.	not_entailment
581	Who was awarded first prize in the all-Arab oud contest in Egypt in 2003?	Israeli Arab musicians have achieved fame beyond Israel's borders: Elias and Murkus frequently play to audiences in Europe and America, and oud player Darwish Darwish (Prof. Elias's student) was awarded first prize in the all-Arab oud contest in Egypt in 2003.	entailment
582	Why did pre or prije develop rather than the symboled "pre"?	The prefix prě- ("trans-, over-") when long became pre- in eastern Ijekavian dialects but to prije- in western dialects; in Ikavian pronunciation, it also evolved into pre- or prije- due to potential ambiguity with pri- ("approach, come close to").	entailment
583	What language family does Ligurian belong to?	The Sardinian language is considered to be its own Romance language family, separate not only from standard Italian but also the wider Italo-Dalmatian family, and it includes the Campidanese Sardinian and Logudorese Sardinian variants.	not_entailment
584	Which factoring war was on gong in 1828 and shares the of a previous scuttle ? ?	These were further strengthened following the fall of the Empire of Trebizond in 1461, after which and until the second Russo-Turkish War of 1828-29 hundreds of thousands of Pontic Greeks fled or migrated from the Pontic Alps and Armenian Highlands to southern Russia and the Russian South Caucasus (see also Greeks in Russia, Greeks in Armenia, Greeks in Georgia, and Caucasian Greeks).	entailment
585	Who directed the first nude scene in Greek film history?	In 1931 Orestis Laskos directed Daphnis and Chloe	entailment
586	Who wrote the Global Accountability Report for 2007?	For example, according to the Global Accountability Report for 2007 (Lloyd, et al.	entailment
587	When was the Jin Dynasty?	For example, the clan of Zhuge Liang (181–234), a chancellor of the state of Shu Han from Central Plain in north China during the Three Kingdoms period, gathered together at the suburb of Hangzhou, forming an exclusive, closed village Zhuge Village (Zhege Cun), consisting of villagers all with family name "Zhuge".	not_entailment
588	Who was the author of the first published book classifying humans into distinct races?	The first post-Classical published classification of humans into distinct races seems to be François Bernier's Nouvelle division de la terre par les différents espèces ou races qui l'habitent ("New division of Earth by the different species or races which inhabit it"), published in 1684.	entailment
589	What impact was Mackenzie said to have?	The new editor of The Sun, Kelvin MacKenzie, took up his post in 1981 just after these developments, and "changed the British tabloid concept more profoundly than [Larry] Lamb did", according to Bruce Page, MacKenzie	entailment
590	What does the joining of Purusa and Prakriti produce?	The universe is described by this school as one created by Purusa-Prakriti entities infused with various permutations and combinations of variously enumerated elements, senses, feelings, activity and mind.	not_entailment
591	The young child, the adolescent, the young adult and the older adult are phases of what?	The definition readily applies to the young child, to the adolescent, to the young adult, and to the older adult in various phases of the life cycle.	entailment
592	What does the "line feed" function do?	RFC 2822 refers to control characters that do not include carriage return, line feed or white space as non-whitespace control characters.	not_entailment
593	What is the name of the train line that connects Connecticut and Massachusetts together?	According to the White House, "This corridor [currently] has one train per day connecting communities in Connecticut and Massachusetts to the Northeast Corridor and Vermont.	not_entailment
594	What does the abbreviated electrical characteristics of smaller capacitors consist of?	Most capacitors have numbers printed on their bodies to indicate their electrical characteristics.	not_entailment
595	Where did former slaves go for work once freed?	Other blacks slaves were transported to Crete, from where they or their descendants later reached the İzmir area through the population exchange between Greece and Turkey in 1923, or indirectly from Ayvalık in pursuit of work.	entailment
596	What were a Japanese family who unveiled a Tibetan flag hit with?	A Japanese family with Malaysian citizenship and their 5-year-old child who unfurled a Tibetan flag were hit by a group of Chinese nationals with plastic air-filled batons and heckled by a crowd of Chinese citizens during the confrontation at Independence Square where the relay began, and the Chinese group shouted: "Taiwan and Tibet belong to China."	entailment
597	What philosophy influenced the RCC?	The influence of Nasser's Arab nationalism over the RCC was immediately apparent.	entailment
598	Where was Namibia ranked on Press Freedom in 2014?	In 2014 it ranked 22nd	entailment
599	When did Egypt regain formal independence from Britain?	In 1922, Egypt, which had been declared a British protectorate at the outbreak of the First World War, was granted formal independence, though it continued to be a British client state until 1954.	entailment
600	What type of aircraft is not appropriate to be used in close proximity of US ground troops?	The ground-attack aircraft of the USAF are designed to attack targets on the ground and are often deployed as close air support for, and in proximity to, U.S. ground forces.	not_entailment
601	Who could rise into polish ennoblement?	Each szlachcic had enormous influence over the country's politics, in some ways even greater than that enjoyed by the citizens of modern democratic countries.	not_entailment
602	What were some of the names given to language during period of foreign control?	Bosniaks, Croats and Serbs differ in religion and were historically often part of different cultural circles, although a large part of the nations have lived side by side under foreign overlords.	not_entailment
603	Protestants describe Mary as devoted to whom?	Protestants in general reject the veneration and invocation of the Saints.:1174 Protestants typically hold that Mary was the mother of Jesus, but was an ordinary woman devoted to God.	entailment
604	The impact and time types of what were analyzed?	Fuzing options were also examined, both impact and time types.	entailment
605	Who wrote the book, The Computer and the Brain?	The invention of electronic computers in the 1940s, along with the development of mathematical information theory, led to a realization that brains can potentially be understood as information processing systems.	not_entailment
606	What movement occurred during the 1970s?	The discipline of ecology typically traces its origin to the synthesis of Darwinian evolution and Humboldtian biogeography, in the late 19th and early 20th centuries.	not_entailment
607	What is the main feature of a supercapacitor?	They also are designed with direct current breakdown voltages of at least five times the maximum AC voltage.	not_entailment
608	What cable network did the AFL sign a regional contract with?	In some areas, such as with the Arizona Rattlers, Fox Sports affiliates still carry the games.	not_entailment
609	What type of birds have specially adapted brushy tongues?	Nectar feeders such as hummingbirds, sunbirds, lories, and lorikeets amongst others have specially adapted brushy tongues and in many cases bills designed to fit co-adapted flowers.	entailment
610	When was Madonna's daughter born?	Biographer Mary Cross writes that although Madonna was often ill during the filming and worried that her pregnancy would harm the film, she reached some important personal goals: "Now 38 years old, Madonna had at last triumphed on screen and achieved her dream of having a child, both in the same year.	not_entailment
611	What was the unemployment rate in Switzerland in 2014?	The foreign citizen population was 21.8% in 2004, about the same as in Australia.	not_entailment
612	What magazine awarded Southampton "fittest city in the UK" in 2006?	Southampton was named "fittest city in the UK" in 2006 by Men's Fitness magazine.	entailment
613	What military comedy did Bud Abbott and Lou Costello star in?	Some stars came from radio, including Edgar Bergen, W. C. Fields, and the comedy team of Abbott and Costello (Bud Abbott and Lou Costello).	not_entailment
614	What is the use of solar balloons typically limited to?	A solar balloon is a black balloon that is filled with ordinary air.	not_entailment
615	What 1876 Novel did Namik Kemal write?	Many of the writers in the Tanzimat period wrote in several different genres simultaneously: for instance, the poet Namik Kemal also wrote the important 1876 novel İntibâh ("Awakening"), while the journalist İbrahim Şinasi is noted for writing, in 1860, the first modern Turkish play, the one-act comedy "Şair Evlenmesi" ("The Poet's Marriage").	entailment
616	Who controlled Macedon after Alexander died?	From about 200 BC the Roman Republic became increasingly involved in Greek affairs and engaged in a series of wars with Macedon.	not_entailment
617	What is the Greek word for "case" or "casing"?	The term "angiosperm" comes from the Greek composite word (angeion-, "case" or "casing", and sperma, "seed") meaning "enclosed seeds", after the enclosed condition of the seeds.	entailment
618	What did the Deutsche Bank estimate the value of the reserves to be at?	In November 2012, a report published by Deutsche Bank estimated the value of natural gas reserves south of Crete at €427 billion.	entailment
619	In the 2008 primary, how much of the Bronx vote did Obama get?	On the same day, John McCain won 54.4% of the borough's 5,643 Republican votes, Mitt Romney 20.8%, Mike Huckabee 8.2%, Ron Paul 7.4%, Rudy Giuliani 5.6%, and the other candidates (Fred Thompson, Duncan Hunter and Alan Keyes) 3.6% between them.	not_entailment
620	What did James believe a stimulus act upon to produce emotion?	In his theory, James proposed that the perception of what he called an "exciting fact" directly led to a physiological response, known as "emotion."	not_entailment
621	What form of c, when written, contains a dot over the letter?	Additionally, modern editions often distinguish between velar and palatal ⟨c⟩ and ⟨g⟩ by placing dots above the palatals: ⟨ċ⟩, ⟨ġ⟩.	entailment
622	How was Syria's economy fairing under the arrangement?	In response to Syria's worsening economy, which Nasser attributed to its control by the bourgeoisie, in July 1961, Nasser decreed socialist measures that nationalized wide-ranging sectors of the Syrian economy.	entailment
623	What was the latest legal closing time on Sundays in English pubs as of 2000?	In England and Wales by 2000 pubs could legally open from 11 am (12 noon on Sundays) through to 11 pm (10:30 pm on Sundays).	entailment
624	How many people live in Nigeria?	With approximately 182 million inhabitants, Nigeria is the most populous country in Africa and the seventh most populous country in the world.	entailment
625	What is the Nanjing Library's ranking in China?	Nanjing University Library is the second largest university libraries in China after Peking University Library, and the fifth largest nationwide, especially in the number of precious collections.	not_entailment
626	What area is important to the fruit juice industry	Agriculture and food and drink production continue to be major industries in the county, employing over 15,000 people.	not_entailment
627	Which word is used when somebodys sexual orientation, behaviors, and idenity match?	Sexual identity and sexual behavior are closely related to sexual orientation, but they are distinguished, with sexual identity referring to an individual's conception of themselves, behavior referring to actual sexual acts performed by the individual, and orientation referring to "fantasies, attachments and longings.	not_entailment
628	What did the exercises lead to?	He was a Spanish colonel, and the first person to introduce educative gymnastic in France.	not_entailment
629	What did Dean's backers become known as?	The majority of his donations came from individual supporters, who became known as Deanites, or, more commonly, Deaniacs.	entailment
630	Did the club later regret their choice?	The withdrawal from the FA Cup, however, drew considerable criticism as this weakened the tournament's prestige and Sir Alex Ferguson later admitted his regret regarding their handling of the situation.	entailment
631	What branch of government are the House of Representatives focused on?	The House of Representatives, whose members are elected to serve five-year terms, specialises in legislation.	entailment
632	In what year did the Southern New England Telephone Company, formerly the District Telephone Company of New Haven, establish operations in the area?	The Southern New England Telephone Company (SNET) began operations in the city as the District Telephone Company of New Haven in 1878; the company remains headquartered in New Haven as a subsidiary of AT&T Inc., now doing business as AT&T Connecticut, and provides telephone service for all but two municipalities in Connecticut.	entailment
633	What is compromised of many levels of codified and uncodified forms of law?	The law of the United States comprises many levels of codified and uncodified forms of law, of which the most important is the United States Constitution, the foundation of the federal government of the United States.	entailment
634	What type of birds generally feed by fishing, plant eating or piracy?	Even within a single habitat, such as a forest, the niches occupied by different species of birds vary, with some species feeding in the forest canopy, others beneath the canopy, and still others on the forest floor.	not_entailment
635	What was the median income for a household in the city?	The median income for a household in the city was $26,969, and the median income for a family was $31,997.	entailment
636	how long was phuture's "acid tracks"?	The group's 12-minute "Acid Tracks" was recorded to tape and was played by DJ Ron Hardy at the Music Box, where Hardy was resident DJ.	entailment
637	How many pharmaceutical drugs were approved on average since 2001?	Since 2001, the Center for Drug Evaluation and Research has averaged 22.9 approvals a year.	entailment
638	How many preseason games does each MLB team play?	Each team plays about 30 preseason games against other MLB teams.	entailment
639	What percentage of Polish Jews were killed during the Holocaust?	Of the estimated 8.8 million Jews living in Europe at the beginning of World War II, the majority of whom were Ashkenazi, about 6 million –	not_entailment
640	What show did Spielberg work with Rodat on?	Spielberg also produced The River, Smash, Under the Dome, Extant and The Whispers, as well as a TV adaptation of Minority Report.	not_entailment
641	Where are the remains of the 416 unidentified soldiers who died in the Korean War?	The remains of 4,167 U.S. Army and U.S. Marine Corps dead were exchanged for 13,528 KPA and PVA dead, and 546 civilians dead in UN prisoner-of-war camps were delivered to the South Korean government.	not_entailment
642	What is the library programmers use to solve object-relational impedance mismatch?	On the programming side, libraries known as object-relational mappings (ORMs) attempt to solve the same problem.	entailment
643	How much money does the nonprofit arts and culture industry raise for government?	The nonprofit arts and culture industry generates $1.2 billion in direct economic activity in North Carolina, supporting more than 43,600 full-time equivalent jobs and generating $119 million in revenue for local governments and the state of North Carolina.	entailment
644	What did Nakamura, Akasaki, and Amano receive for their work?	The first high-brightness blue LED was demonstrated by Shuji Nakamura of Nichia Corporation in 1994 and was based on InGaN.	not_entailment
645	What type of city-states were involved with the Roman Republic?	With some major exceptions of outright military rule, the Roman Republic remained an alliance of independent city-states and kingdoms (with varying degrees of independence, both de jure and de facto) until it transitioned into the Roman Empire.	entailment
646	How is theology carried out in a confessional church?	However this is based on a more subtle point: In confessional churches, theology is not solely an individual matter.	not_entailment
647	Besides part of Italy, over what areas did Phillip rule?	In these territories, as well as in the Polish–Lithuanian Commonwealth (ruled by Anna Jagiellon) and in the Papal States, the new calendar was implemented on the date specified by the bull, with Julian Thursday, 4 October 1582, being followed by Gregorian Friday, 15 October 1582.	not_entailment
648	What took the place of the German DIN 4512 system?	On an international level the German DIN 4512 system has been effectively superseded in the 1980s by ISO 6:1974, ISO 2240:1982, and ISO 5800:1979 where the same sensitivity is written in linear and logarithmic form as "ISO 100/21°" (now again with degree symbol).	entailment
649	What does the Latin word animalis mean?	The word "animal" comes from the Latin animalis, meaning having breath, having soul or living being.	entailment
650	What was the second time period that a significant change began to happen in Cubism?	Considerations manifested by Cubists prior to the outset of World War I—such as the fourth dimension, dynamism of modern life, the occult, and Henri Bergson's concept of duration—had now been vacated, replaced by a purely formal frame of reference.	not_entailment
651	What historic period was the foundry for classic Chinese literature in the ancient world?	Much of Chinese literature originates with the Hundred Schools of Thought period that occurred during the Eastern Zhou Dynasty (769-269 BCE).	entailment
652	What religion did Irish and Italian immigrants bring with them to Boston?	Irish and Italian immigrants brought with them Roman Catholicism.	entailment
653	What did Calvin particular reject?	That means that they are allowed to explore God's creation and, according to Genesis 2:15, make use of it in a responsible and sustainable way.	not_entailment
654	Of the eight precepts which one is on sexual misconduct?	In the eight precepts, the third precept on sexual misconduct is made more strict, and becomes a precept of celibacy.	entailment
655	Who was put in charge of the People's Movement of Ukraine?	On September 28, First Secretary of the Communist Party of the Ukraine Volodymyr Shcherbytsky, a holdover from the Brezhnev era, was replaced by Vladimir Ivashko.	not_entailment
656	Where did these Germans eventually occupy?	With their followers of both German, English and Scots-Irish origin, they worked their way southward and soon occupied all of the Shenandoah Valley, ceded by the Iroquois, and the upper reaches of the Great Valley tributaries of the Tennessee River, ceded by the Cherokee.	entailment
657	Sir Edwin Lutyens' city planning in what city marked a shift in design?	In the British Raj in India, Sir Edwin Lutyens' monumental city planning for New Delhi marked the sunset of neoclassicism.	entailment
658	Who named the element zinc?	The element was probably named by the alchemist Paracelsus after the German word Zinke (prong, tooth).	entailment
659	What does a Kommunalverband besonderer Art require?	Local associations of a special kind are an amalgamation of one or more Landkreise with one or more Kreisfreie Städte to form a replacement of the aforementioned administrative entities at the district level.	not_entailment
660	Who was George VI's brother?	He became king at a point when public faith in the monarchy was at a low ebb.	not_entailment
661	In what year did the directors of Barcelona first claim to operate a professional football club?	This coincided with the transition to professional football, and, in 1926, the directors of Barcelona publicly claimed, for the first time, to operate a professional football club.	entailment
662	And what was Benigno Andrade's?	General Francisco Franco — himself a Galician from Ferrol — ruled as dictator from the civil war until his death in 1975.	not_entailment
663	What is a criticism of other streaming services?	The idea of having an all artist owned streaming service was created by those involved to adapt to the increased demand for streaming within the current music industry, and to rival other streaming services such as Spotify, which have been criticised for their low payout of royalties.	entailment
664	In what year did Sony and Philips band together to design a new digital audio disc?	After a year of experimentation and discussion, the task force produced the Red Book CD-DA standard.	not_entailment
665	In Gallagher's definition of genocide, a source of what is malicious in it implementation of the destruction of a group?	The definition upholds the centrality of intent, the multidimensional understanding of destroy, broadens the definition of group identity beyond that of the 1948 definition yet argues that a substantial part of a group has to be destroyed before it can be classified as genocide (dependent on relative group size).	not_entailment
666	What is the second most visited art museum in Paris?	Starkly apparent with its service-pipe exterior, the Centre Georges Pompidou, the second-most visited art museum in Paris, also known as Beaubourg, houses the Musée National d'Art Moderne.	entailment
667	When did the physical exchange of the drachma to euro take place?	However, in 2001 the euro only existed electronically, so the physical exchange from drachma to euro only took place on 1 January 2002.	entailment
668	Why was Britain mainly interested in solid fuel rockets?	During the 1930s solid fuel rockets were under development in the Soviet Union and Britain.	not_entailment
669	What market did Dell ignore at first?	While the industry’s average selling price to individuals was going down, Dell's was going up, as second- and third-time computer buyers who wanted powerful computers with multiple features and did not need much technical support were choosing Dell.	not_entailment
670	Season six was the first season where what had more viewers?	Season six was the first season wherein the average results show rated higher than the competition stages (unlike in the previous seasons), and became the second highest-rated of the series after the preceding season.	entailment
671	What did the Chinese Communists want?	While the Communists were struggling for supremacy in Manchuria, they were supported by the North Korean government with matériel and manpower.	entailment
